#{"t_start": 1703698156.5549204, "env_id": "ContinuousCartPole-v0"}
r,l,t
34.0,34,0.433557
29.0,29,0.451311
41.0,41,0.611849
46.0,46,1.657832
63.0,63,3.093995
32.0,32,3.805093
75.0,75,5.480355
26.0,26,6.074736
39.0,39,6.943414
41.0,41,7.904845
46.0,46,8.943072
54.0,54,10.163806
30.0,30,10.844987
46.0,46,11.888197
29.0,29,12.566384
30.0,30,13.25355
34.0,34,14.043437
51.0,51,15.189376
27.0,27,15.784782
34.0,34,16.541845
30.0,30,17.300864
62.0,62,18.761961
28.0,28,19.444136
31.0,31,20.222058
40.0,40,21.272252
65.0,65,22.804154
35.0,35,23.652888
33.0,33,24.450752
39.0,39,25.374284
44.0,44,26.455395
48.0,48,27.689099
89.0,89,30.117632
23.0,23,30.800015
50.0,50,32.377798
31.0,31,33.43145
41.0,41,34.695331
69.0,69,36.990196
68.0,68,39.159399
31.0,31,40.684426
25.0,25,41.87165
49.0,49,44.147775
33.0,33,45.419851
41.0,41,46.931167
36.0,36,48.337087
32.0,32,49.545866
51.0,51,51.284126
33.0,33,52.509763
32.0,32,53.66368
62.0,62,56.12221
48.0,48,57.865165
47.0,47,59.235498
59.0,59,60.863555
82.0,82,63.170088
70.0,70,65.033108
35.0,35,65.976584
29.0,29,66.76154
40.0,40,67.979578
60.0,60,69.687014
44.0,44,70.93294
57.0,57,72.479807
49.0,49,73.896023
29.0,29,74.680925
32.0,32,75.535092
100.0,100,78.268571
27.0,27,79.067466
46.0,46,80.322113
43.0,43,81.491955
37.0,37,82.561951
28.0,28,83.360816
69.0,69,85.314588
32.0,32,86.194743
82.0,82,88.489607
40.0,40,89.616594
50.0,50,91.018846
28.0,28,91.74291
37.0,37,92.854117
40.0,40,94.019002
71.0,71,95.993759
48.0,48,97.331151
40.0,40,98.427002
53.0,53,99.89828
41.0,41,101.090149
49.0,49,104.848742
38.0,38,106.784637
34.0,34,108.461155
31.0,31,109.500378
38.0,38,110.737107
48.0,48,112.280385
35.0,35,113.52405
46.0,46,114.831556
77.0,77,117.205669
43.0,43,118.422416
67.0,67,120.377192
54.0,54,122.362881
57.0,57,124.039439
55.0,55,125.720979
59.0,59,127.602168
42.0,42,128.819563
32.0,32,129.933088
52.0,52,131.495987
54.0,54,133.055362
46.0,46,134.352893
39.0,39,135.556675
30.0,30,136.455272
64.0,64,139.161648
60.0,60,140.853289
63.0,63,142.614583
52.0,52,144.058523
126.0,126,148.074096
132.0,132,152.046003
51.0,51,153.467541
88.0,88,155.90594
57.0,57,157.498339
58.0,58,159.159789
71.0,71,161.11251
51.0,51,162.534052
67.0,67,164.529315
124.0,124,168.164764
52.0,52,169.726902
98.0,98,172.399071
140.0,140,176.327507
130.0,130,179.910411
51.0,51,181.253842
60.0,60,182.940948
89.0,89,185.494743
124.0,124,188.885869
141.0,141,192.781512
220.0,220,198.767787
187.0,187,204.134823
178.0,178,209.042281
120.0,120,212.386671
303.0,303,221.340297
167.0,167,226.769481
280.0,280,235.212922
283.0,283,243.229155
245.0,245,250.854769
312.0,312,260.713367
203.0,203,266.464254
362.0,362,276.511557
259.0,259,284.123021
285.0,285,292.182868
332.0,332,302.748044
290.0,290,312.395326
270.0,270,320.581751
278.0,278,328.603605
420.0,420,340.470839
298.0,298,349.226945
406.0,406,360.66791
373.0,373,371.218488
320.0,320,380.284086
429.0,429,392.387435
332.0,332,401.917522
321.0,321,411.236373
352.0,352,421.35095
312.0,312,430.230525
300.0,300,438.847034
290.0,290,447.200437
316.0,316,456.187382
405.0,405,467.948912
375.0,375,478.702032
427.0,427,491.328217
353.0,353,501.305864
500.0,500,515.579051
325.0,325,525.019839
457.0,457,538.761463
401.0,401,550.265478
439.0,439,563.610706
395.0,395,574.885249
480.0,480,589.089771
257.0,257,596.615456
279.0,279,604.596385
275.0,275,612.499091
310.0,310,621.507112
391.0,391,632.526678
317.0,317,641.542576
277.0,277,649.853507
256.0,256,658.696221
288.0,288,666.921486
500.0,500,681.320573
452.0,452,694.25371
257.0,257,701.659439
270.0,270,709.580814
268.0,268,717.254915
396.0,396,728.529232
294.0,294,737.060132
281.0,281,745.072244
354.0,354,755.138461
277.0,277,763.049838
297.0,297,771.837648
308.0,308,780.660736
334.0,334,790.230207
289.0,289,798.57391
358.0,358,809.284801
275.0,275,817.132164
255.0,255,824.588467
385.0,385,835.873318
278.0,278,844.031461
348.0,348,853.857839
269.0,269,861.504296
384.0,384,872.439345
328.0,328,881.925379
407.0,407,893.746705
401.0,401,905.162894
275.0,275,913.003232
266.0,266,920.649383
404.0,404,932.180443
313.0,313,941.086291
334.0,334,950.915946
310.0,310,959.886433
319.0,319,968.948426
304.0,304,977.599582
390.0,390,988.672673
339.0,339,998.444631
356.0,356,1008.787919
406.0,406,1020.33057
490.0,490,1034.380919
467.0,467,1047.629343
361.0,361,1057.984662
467.0,467,1071.572989
358.0,358,1081.921464
500.0,500,1096.25206
351.0,351,1106.258442
297.0,297,1114.620883
500.0,500,1129.38398
371.0,371,1140.376173
360.0,360,1150.628876
388.0,388,1162.374063
370.0,370,1173.882948
351.0,351,1184.030087
380.0,380,1195.223697
351.0,351,1205.195078
500.0,500,1219.464698
352.0,352,1229.607204
500.0,500,1244.150865
336.0,336,1255.145302
384.0,384,1266.865127
315.0,315,1276.037663
310.0,310,1285.064429
364.0,364,1295.572274
332.0,332,1305.358187
373.0,373,1316.21888
277.0,277,1324.141682
267.0,267,1331.825795
282.0,282,1339.917806
272.0,272,1347.704286
359.0,359,1357.995463
276.0,276,1366.064936
264.0,264,1373.696032
321.0,321,1383.022017
304.0,304,1391.869279
278.0,278,1399.885778
373.0,373,1410.696186
320.0,320,1420.023816
270.0,270,1427.887384
323.0,323,1437.190022
338.0,338,1446.915992
374.0,374,1457.951061
280.0,280,1466.520292
287.0,287,1474.892066
268.0,268,1482.638678
240.0,240,1489.774543
255.0,255,1497.127836
244.0,244,1504.183018
271.0,271,1512.013896
274.0,274,1519.974983
386.0,386,1531.095059
359.0,359,1541.304004
273.0,273,1549.5348
343.0,343,1559.855868
283.0,283,1567.9777
295.0,295,1576.950973
256.0,256,1584.402674
253.0,253,1591.771423
252.0,252,1599.04539
312.0,312,1608.037251
318.0,318,1617.333682
299.0,299,1626.313791
220.0,220,1632.517978
232.0,232,1639.280767
314.0,314,1648.411128
201.0,201,1654.377983
282.0,282,1662.6356
254.0,254,1669.899932
268.0,268,1677.788867
328.0,328,1687.407513
263.0,263,1694.994025
214.0,214,1701.257605
263.0,263,1708.801746
226.0,226,1715.532663
212.0,212,1721.743296
288.0,288,1730.336697
267.0,267,1738.027889
286.0,286,1746.465624
284.0,284,1754.747114
291.0,291,1763.016491
287.0,287,1771.270926
263.0,263,1779.114269
246.0,246,1786.454501
236.0,236,1793.358499
249.0,249,1800.452973
303.0,303,1809.394066
226.0,226,1815.944819
282.0,282,1824.16563
500.0,500,1838.465974
232.0,232,1845.878424
303.0,303,1856.385931
250.0,250,1864.810501
257.0,257,1873.459117
252.0,252,1881.215616
251.0,251,1888.620107
269.0,269,1896.615158
231.0,231,1903.493228
259.0,259,1911.399415
256.0,256,1918.830726
275.0,275,1926.867909
262.0,262,1934.646787
279.0,279,1942.861339
356.0,356,1953.350392
288.0,288,1961.776779
349.0,349,1972.235359
392.0,392,1983.800299
500.0,500,1998.554097
341.0,341,2008.806445
302.0,302,2017.685996
328.0,328,2028.22172
417.0,417,2041.10395
367.0,367,2051.918605
426.0,426,2064.497498
500.0,500,2080.781812
461.0,461,2094.469748
500.0,500,2109.377079
478.0,478,2123.723964
417.0,417,2136.08565
401.0,401,2148.398845
387.0,387,2159.853497
423.0,423,2172.527994
486.0,486,2187.062012
500.0,500,2201.921948
500.0,500,2216.77585
479.0,479,2231.330907
500.0,500,2250.395051
500.0,500,2266.600484
500.0,500,2283.455452
500.0,500,2299.582541
500.0,500,2315.510504
500.0,500,2331.708764
500.0,500,2346.660139
500.0,500,2361.688915
500.0,500,2377.426302
500.0,500,2395.531166
500.0,500,2415.07755
500.0,500,2431.096203
500.0,500,2446.50789
488.0,488,2462.402455
500.0,500,2477.308733
405.0,405,2489.460716
500.0,500,2504.660196
387.0,387,2516.41233
398.0,398,2528.258649
381.0,381,2539.542457
344.0,344,2549.939079
500.0,500,2565.081165
323.0,323,2575.179555
500.0,500,2589.977472
500.0,500,2605.339384
344.0,344,2615.668892
341.0,341,2625.934457
411.0,411,2638.233415
500.0,500,2653.236506
440.0,440,2666.504613
500.0,500,2681.71121
500.0,500,2696.947778
472.0,472,2711.366055
500.0,500,2726.975057
335.0,335,2737.04122
424.0,424,2750.212511
458.0,458,2764.088016
412.0,412,2776.583177
350.0,350,2787.155859
427.0,427,2799.947703
443.0,443,2813.510656
500.0,500,2828.437156
500.0,500,2843.429646
417.0,417,2855.846287
453.0,453,2869.519659
500.0,500,2884.823137
500.0,500,2899.733876
500.0,500,2914.83314
500.0,500,2930.466888
500.0,500,2945.707434
500.0,500,2961.78003
